count,time,0.97,1.95,2.85,3.82,5.15,,,,,,,,,,
31,1743769247,2.11E-13,5.92E-12,1.02E-10,1.12E-10,-6.73E-14,,,,,,,,,,
32,1743769249,2.16E-13,5.99E-12,1.02E-10,1.12E-10,-6.74E-14,,,,,,,,,,
33,1743769252,1.94E-13,5.98E-12,1.02E-10,1.11E-10,-6.66E-14,,,,,,,,,,
34,1743769255,2.22E-13,5.99E-12,1.02E-10,1.12E-10,-6.41E-14,,,,,,,,,,
35,1743769258,2.34E-13,5.98E-12,1.02E-10,1.12E-10,-6.70E-14,,,,,,,,,,
36,1743769261,2.14E-13,6.08E-12,1.02E-10,1.12E-10,-6.66E-14,,,,,,,,,,
37,1743769263,2.44E-13,5.96E-12,1.02E-10,1.12E-10,-6.20E-14,,,,,,,,,,
38,1743769266,2.10E-13,5.96E-12,1.02E-10,1.11E-10,-6.92E-14,,,,,,,,,,
39,1743769268,2.24E-13,6.08E-12,1.02E-10,1.12E-10,-6.93E-14,,,,,,,,,,
40,1743769271,2.19E-13,6.06E-12,1.02E-10,1.11E-10,-6.33E-14,,,,,,,,,,
41,1743769274,2.23E-13,5.91E-12,1.03E-10,1.12E-10,-6.39E-14,,,,,,,,,,
42,1743769276,2.26E-13,5.87E-12,1.03E-10,1.12E-10,-6.13E-14,,,,,,,,,,
58,1743769319,2.50E-13,6.04E-12,1.02E-10,1.11E-10,-6.84E-14,,,,,,,,,,
59,1743769322,2.01E-13,5.96E-12,1.02E-10,1.12E-10,-6.47E-14,,,,,,,,,,
60,1743769325,2.59E-13,5.84E-12,1.02E-10,1.12E-10,-6.81E-14,,,,,,,,,,
61,1743769327,2.18E-13,5.94E-12,1.02E-10,1.12E-10,-6.29E-14,,,,,,,,,,
62,1743769330,2.32E-13,5.77E-12,1.02E-10,1.12E-10,-6.76E-14,,,,,,,,,,
63,1743769332,2.29E-13,5.74E-12,1.02E-10,1.12E-10,-6.62E-14,,,,,,,,,,
64,1743769335,2.32E-13,6.11E-12,1.02E-10,1.12E-10,-6.81E-14,,,,,,,,,,
65,1743769337,2.18E-13,5.99E-12,1.02E-10,1.12E-10,-6.43E-14,,,,,,,,,,
66,1743769340,2.10E-13,5.99E-12,1.02E-10,1.12E-10,-6.62E-14,,,,,,,,,,
67,1743769343,2.25E-13,5.90E-12,1.02E-10,1.12E-10,-6.65E-14,,,,,,,,,,
