count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1744211714.338831,5.565349830288779e-12,6.74903145522765e-12,1.0738403916077388e-10,1.236697677597931e-08,3.046379338025873e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),508,10:15:11 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.565349830288779e-12, 6.74903145522765e-12, 1.0738403916077388e-10, 1.236697677597931e-08, 3.046379338025873e-13]",True
2,1744211716.9370065,5.448841464833487e-12,6.943190380276354e-12,1.0696834390477861e-10,1.2383248204628217e-08,3.0135082255099144e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),509,10:15:14 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.448841464833487e-12, 6.943190380276354e-12, 1.0696834390477861e-10, 1.2383248204628217e-08, 3.0135082255099144e-13]",False
3,1744211719.5901728,5.487225257505557e-12,6.712674686937259e-12,1.0697719793339999e-10,1.2392822767992584e-08,3.035859324346246e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),510,10:15:16 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.487225257505557e-12, 6.712674686937259e-12, 1.0697719793339999e-10, 1.2392822767992584e-08, 3.035859324346246e-13]",True
4,1744211722.1321917,5.496803533178163e-12,6.684032667625406e-12,1.0669849032085565e-10,1.240396940715982e-08,3.1255499490651095e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),511,10:15:19 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.496803533178163e-12, 6.684032667625406e-12, 1.0669849032085565e-10, 1.240396940715982e-08, 3.1255499490651095e-13]",False
5,1744211724.6820707,5.4588256657994716e-12,6.669490480726292e-12,1.0727136540156224e-10,1.2409000049729002e-08,3.1184980270847207e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),512,10:15:21 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.4588256657994716e-12, 6.669490480726292e-12, 1.0727136540156224e-10, 1.2409000049729002e-08, 3.1184980270847207e-13]",True
6,1744211727.706703,5.507514149599713e-12,6.704817256952822e-12,1.0713620962610193e-10,1.2416746741905627e-08,3.0795765243452067e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),513,10:15:24 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.507514149599713e-12, 6.704817256952822e-12, 1.0713620962610193e-10, 1.2416746741905627e-08, 3.0795765243452067e-13]",False
7,1744211730.2200942,5.449720535954938e-12,6.624414124883904e-12,1.0748686662953588e-10,1.2423592821164675e-08,3.0643239681826806e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),514,10:15:27 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.449720535954938e-12, 6.624414124883904e-12, 1.0748686662953588e-10, 1.2423592821164675e-08, 3.0643239681826806e-13]",True
8,1744211732.736732,5.327628962992215e-12,6.602219639051388e-12,1.073577823862415e-10,1.2431916829314105e-08,3.0993553535273166e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),515,10:15:29 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.327628962992215e-12, 6.602219639051388e-12, 1.073577823862415e-10, 1.2431916829314105e-08, 3.0993553535273166e-13]",False
9,1744211735.321922,5.244934261211531e-12,6.695215128832421e-12,1.0748599232890399e-10,1.243415415075333e-08,3.1720936641277397e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),516,10:15:32 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.244934261211531e-12, 6.695215128832421e-12, 1.0748599232890399e-10, 1.243415415075333e-08, 3.1720936641277397e-13]",True
10,1744211737.8755386,5.284278657008423e-12,6.594063836629083e-12,1.0806981698419094e-10,1.243788183558081e-08,3.023559050699398e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),517,10:15:35 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.284278657008423e-12, 6.594063836629083e-12, 1.0806981698419094e-10, 1.243788183558081e-08, 3.023559050699398e-13]",False
11,1744211740.4661942,5.34033798085809e-12,6.788865910406505e-12,1.079825603933493e-10,1.2451990549777747e-08,3.057931512173706e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),518,10:15:37 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.34033798085809e-12, 6.788865910406505e-12, 1.079825603933493e-10, 1.2451990549777747e-08, 3.057931512173706e-13]",True
12,1744211743.0540266,5.23531955634593e-12,6.7012641095931524e-12,1.0752899959332041e-10,1.2452381348282415e-08,3.03982289643831e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),519,10:15:40 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.23531955634593e-12, 6.7012641095931524e-12, 1.0752899959332041e-10, 1.2452381348282415e-08, 3.03982289643831e-13]",False
13,1744211746.0806122,5.1478335483245985e-12,6.619026507448389e-12,1.0684502588231837e-10,1.245651226611244e-08,3.09237309153651e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),520,10:15:42 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.1478335483245985e-12, 6.619026507448389e-12, 1.0684502588231837e-10, 1.245651226611244e-08, 3.09237309153651e-13]",True
14,1744211748.5857677,5.242681289097106e-12,6.630523387285425e-12,1.079236006118478e-10,1.2458039932994325e-08,3.069527867560068e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),521,10:15:45 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.242681289097106e-12, 6.630523387285425e-12, 1.079236006118478e-10, 1.2458039932994325e-08, 3.069527867560068e-13]",False
15,1744211751.0978312,5.2665333032109185e-12,6.611333008832432e-12,1.0803688499372299e-10,1.2465940280037557e-08,3.0694221578482506e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),522,10:15:48 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.2665333032109185e-12, 6.611333008832432e-12, 1.0803688499372299e-10, 1.2465940280037557e-08, 3.0694221578482506e-13]",True
16,1744211753.621426,5.302409553098464e-12,6.5121809854351564e-12,1.0717555315453708e-10,1.2469551613492058e-08,3.0271927542804833e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),523,10:15:50 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.302409553098464e-12, 6.5121809854351564e-12, 1.0717555315453708e-10, 1.2469551613492058e-08, 3.0271927542804833e-13]",False
17,1744211756.2185063,5.209715471521381e-12,6.653429543423961e-12,1.0751040335765794e-10,1.2468789556407955e-08,3.052091999272699e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),524,10:15:53 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.209715471521381e-12, 6.653429543423961e-12, 1.0751040335765794e-10, 1.2468789556407955e-08, 3.052091999272699e-13]",True
18,1744211758.8028114,5.197477864760103e-12,6.543992344537619e-12,1.0762939844921604e-10,1.2477167743440987e-08,3.099613122593825e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),525,10:15:56 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.197477864760103e-12, 6.543992344537619e-12, 1.0762939844921604e-10, 1.2477167743440987e-08, 3.099613122593825e-13]",False
19,1744211761.3889093,5.145324270816598e-12,6.587236398708507e-12,1.0751188828095337e-10,1.2477079813777436e-08,3.1835778045892493e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),526,10:15:58 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.145324270816598e-12, 6.587236398708507e-12, 1.0751188828095337e-10, 1.2477079813777436e-08, 3.1835778045892493e-13]",True
20,1744211764.5593312,5.312559853837273e-12,6.661291310217088e-12,1.0822612250827035e-10,1.2475370958497933e-08,3.07656271335624e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),527,10:16:01 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.312559853837273e-12, 6.661291310217088e-12, 1.0822612250827035e-10, 1.2475370958497933e-08, 3.07656271335624e-13]",False
