,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,U_ng_1s_%,Th_ng,Th_ng_1s,Th_ng_1s_%,Sm_ng,Sm_ng_1s,Sm_ng_1s_%,He_pmol,He_pmol_1s,He_pmol_1s_%,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
FCT_13,,"euhedral, little jagged on one face, inclusion-ridden",27.803111886464546,0.4562136576170563,1.640872645767238,51.6795304265229,0.7614718051469316,21.184272611619498,0.34591842106308296,1.6329020467445645,2.2523834034032024,0.03708631002993207,1.6465362856917303,1.1696126159652755,0.018546635738746754,1.585707565529319,0,0,0,0.28921860338330985,0.0023119828473185436,0.7993893962119738,5.403359333333333e-06,416.84871659529387,216.46026921621393,0.0,467.71687986110413
GRB05_z5,,euhedral with questionable terminals,904.6550582974577,14.117804678574025,1.5605732316517904,68.99849160400184,0.8167676305441518,749.5636263272037,11.488840732261004,1.5327372258650436,1.7615944126638434,0.026013432287076702,1.476698160488587,1.4096907369356733,0.01853693284857327,1.3149645069576097,0,0,0,9.035205670210521,0.06958222648803501,0.7701233267710854,1.0467575999999999e-05,168.29057774826222,134.67212819239845,0.0,199.93852787347586
GRB05_z9,,euhedral with some smoother tips; it is a 3-4 in between,1093.4570574222664,19.285311432790472,1.7637008515225994,50.63985431339133,0.7549305079964497,844.9729601294385,14.481478446249046,1.7138392741030053,0.7528399774636282,0.012819569871035755,1.702827991975905,0.6494322279727812,0.011244777780315216,1.7314782506892317,0,0,0,4.443496267170477,0.03444798649123243,0.7752450867516575,4.1022500999999995e-06,183.51879069090114,158.31122241249534,0.0,220.72192795783755
GRB05_z10,,"some terminals are unsure for the baselines, but nice euhedral grain",1021.2155940138554,21.59343877178351,2.1144838463454314,64.25578271410507,0.8044742845262061,836.115476276519,17.292072824103016,2.0681440919034255,1.9476187890027783,0.04108624826389463,2.109563149415479,1.3756770272941097,0.021448469611552265,1.559121013581245,0,0,0,11.033130781541805,0.08667423115311985,0.7855814715631216,8.633188766666666e-06,225.59668757883162,159.34749771784132,0.0,263.0433495425243
GRB05_z11,,mostly euhedral with some jaggedness ,956.2784734023732,18.860075498115364,1.9722367513944457,64.30307511754636,0.8041332526474138,781.568375517227,15.096955159080867,1.931623084044309,1.4079899931549715,0.028001945207626257,1.9887886521750442,1.1382850736491466,0.019984085274579896,1.7556309695351051,0,0,0,7.564044679671348,0.05860679021170655,0.7748075625361452,8.416113999999999e-06,167.29692506006594,135.25067194303057,0.0,199.08083296667812
GRB05_z12,,mostly euhedral with some jaggedness ,1037.6701485969525,19.12346144697142,1.842922962834433,53.04789453099113,0.765921476730222,811.9175387007684,14.575497126288523,1.7951942693111733,0.68673989406854,0.012210324926007828,1.7780130485311776,0.5066084051243943,0.009326294607586943,1.8409277290409216,0,0,0,3.7919209771216833,0.029352262595977088,0.7740736891162057,4.660695466666666e-06,147.34708563992427,108.69802774020786,0.0,172.89112215887312
GRB04_z2,,euhedral with some jeggedness,949.0692055047133,13.828384988995413,1.4570470634585075,81.19038948315321,0.8430131275874025,810.4892074080227,11.629169784144922,1.4348333917160327,2.410652977443144,0.03155887064035674,1.3091420015928472,1.9254871246145273,0.030407280997758104,1.579199393703839,0,0,0,13.441195017565859,0.10434714291748708,0.7763234056281395,1.5754783799999997e-05,153.0108574033967,122.21602968709273,0.0,181.7316243798635
GRB04_z3,,euhedral enough but terminals are questionable,776.9279481707263,10.67495494198324,1.3739954865978727,63.86574536332574,0.8017053355422998,630.9208824654863,8.530034398457973,1.3519974747268881,1.693485959917793,0.021658137171469975,1.2789085758066354,1.8219598741248582,0.026579512077592307,1.4588417920213113,0,0,0,7.614890856718522,0.058872184043767005,0.7731192101305671,7.574751e-06,223.56985198824265,240.53066221250813,0.0,280.0945576081821
FCT_14,,"euhedral, clear tips, one rounded surface, inclusion-ridden",24.973424717186557,0.430316017759783,1.7230957413047243,71.24689900425133,0.823156493921612,20.565524650238466,0.35303486173694343,1.7166343564828521,4.208244608695022,0.07509241408174547,1.784411816903192,2.4917951720559013,0.04118247713655595,1.652723209290818,0,0,0,0.5326205253297597,0.004231554423072065,0.7944782864783883,1.3238708e-05,317.87426754144155,188.2204193986227,0.0,362.1060661001179
GRB04_z4,,euhedral but less symmetrical with a few estimated basiline terminations,862.2395858991623,14.997387355020596,1.7393526811206415,69.85407382342592,0.8187474445305937,715.5033617487638,12.230595400511069,1.70936938306177,2.518482808119219,0.04348694636658727,1.7267120595936465,2.100652309830339,0.03278183483029383,1.5605550084079112,0,0,0,12.371171270312653,0.09532284239157739,0.7705239892711333,1.0920277333333331e-05,230.62443665526138,192.36254224224277,0.0,275.8296340821884
GRB04_z5,,euhedral but less symmetrical with a few estimated basiline terminations,747.5534303378013,15.256734210526476,2.0408887968893845,61.12876347793867,0.7946612661627707,601.9191280848034,12.06352127118056,2.0041764264186916,1.6308763474208887,0.034517569589869616,2.11650439620739,1.294500103157747,0.022392234978922076,1.7297978520279322,0,0,0,6.619006570640066,0.05177231337571585,0.7821764916409414,7.400450866666665e-06,220.37526858893577,174.92178875053054,0.0,261.48188894531046
