"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
FCT_3,"euhedral but assymetrical, lots of inclusions, jagged faces",2,142,137,75,64,25,32
GRB13_z2,euhedral clear grain,1,234,234,93,91,59,54
GRB13_z3,"euhedral but baseline measurements are less accurate due to rugged edges, unclear tips",2,231,231,118,121,50,73
GRB13_z4,euhedral with jagged edges,2,257,256,127,121,66,60
GRB13__z5,euhedral with jagged edges,2,282,278,126,144,91,71
GRB13_z6,euhedral with more jagged edges than 4 and 5,2,311,313,157,142,81,87
GRB13_z8,perfect euhedral grain,1,210,212,115,121,51,53
GRB13_z9,euhedal but less symmetrical,1,295,294,120,115,69,60
FCT_6,"euhedral but less defied tips, pyramids visible, riddled with inclusions",2,159,160,64,69,27,38
GRB13_z11,"euhedral with jagged crystal faces, somewhat assymetrical ",2,223,222,88,100,46,39
GRB12_z1,euhedral somehwat measurable but tips and baselines are uncertain,3,211,205,101,104,45,47
GRB12_z2,"euhedral, less summetrical but good grain",2,344,343,161,145,84,86
GRB12_z3,"euhedral and chubby, not as exact tipes but good grain",3,176,174,109,117,54,53
GRB12_z4,"euhedral, less certain tips at baselines",2,256,256,115,104,54,68
GRB12_z6,"euhedral, baseline measurements are less accurate for tip hights",2,209,210,105,86,43,43
GRB12_z7,"euhedral, baseline measurements are less accurate for tip hights",2,268,260,140,126,91,81
GRB12_z8,"euhedral, baseline measurements are less accurate for tip hights",2,309,310,136,130,66,68
FCT_7,"euhedral but less defied tips, pyramids visible, riddled with inclusions, some jugged edges",2,170,169,74,60,32,37
GRB12_z9,euhedral and mostly symmetrical; intact grain,1,257,256,100,96,65,74
GRB11_z1,euhedral but baseline tips are less accurate therefore tip measurements are less accurate,2,349,351,156,141,78,82
GRB11_z2,euhedral with minimal imperfections,1,341,344,128,131,107,68
GRB11_z3,eahedral with little chips off ,1,325,320,123,139,92,75
GRB11_z4,euhedral but baseline tips are less accurate therefore tip measurements are less accurate,2,353,353,164,168,81,88
GRB11_z5,"euhedral, measurable but not as accurate ",3,230,230,134,124,67,69
