,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
std1935,std,1.247456735,0.001359311,11855,1935,,1744081866,10000-7925-23710-001.csv
lb01_03312025,lb,0.052697755,0.001918156,11566,1891,,1743437537,10000-7645-23132-001.csv
lb02_03312025,lb,0.003348145,7.66E-05,11567,1891,,1743443310,10000-7646-23134-001.csv
hb01_03312025,lb,0.004207883,6.66E-05,11568,1891,,1743444928,10000-7647-23136-001.csv
std1892,std,1.24155924,0.001991104,11569,1892,,1743445537,10000-7648-23138-001.csv
FCT_3,zirc,0.782184988,0.001502078,11570,1892,,1743447288,10000-7649-23140-001.csv
FCT_3_re1,zirc,0.020656732,0.000148392,11571,1892,,1743448823,10000-7650-23142-001.csv
FCT_3_re2,zirc,0.016868702,0.000160451,11572,1892,,1743450418,10000-7651-23144-001.csv
GRB13_z2,zirc,11.92071107,0.016467418,11573,1892,,1743452104,10000-7652-23146-001.csv
GRB13_z2_re1,zirc,2.352653473,0.003906893,11574,1892,,1743453666,10000-7653-23148-001.csv
std1893,std,1.23974373,0.001787917,11575,1893,,1743454293,10000-7654-23150-001.csv
GRB13_z2_re2,zirc,0.003498036,5.28E-05,11576,1893,,1743455844,10000-7655-23152-001.csv
GRB13_z3,zirc,31.2192644,0.035410017,11577,1893,,1743457884,10000-7656-23154-001.csv
GRB13_z3_re1,zirc,3.725022157,0.005978153,11578,1893,,1743459367,10000-7657-23156-001.csv
GRB13_z4,zirc,48.36656908,0.081494023,11579,1893,,1743461074,10000-7658-23158-001.csv
GRB13_z4_re1,zirc,2.353139918,0.003558042,11580,1893,,1743462556,10000-7659-23160-001.csv
GRB13_z4_re2,zirc,1.218171087,0.002016708,11581,1893,,1743464042,10000-7660-23162-001.csv
std1894,std,1.241301952,0.00222598,11582,1894,,1743464644,10000-7661-23164-001.csv
lb01_04012025,lb,0.118279158,0.018401804,11583,1894,,1743512419,10000-7662-23166-001.csv
lb02_04012025,lb,0.040025544,0.005717299,11584,1894,,1743512969,10000-7663-23168-001.csv
lb03_04012025,lb,0.023089352,0.000850445,11585,1894,,1743513553,10000-7664-23170-001.csv
lb04_04012025,lb,0.01706522,0.000204394,11586,1894,,1743514156,10000-7665-23172-001.csv
lb05_04012025,lb,0.016076933,0.000225869,11587,1894,,1743514732,10000-7666-23174-001.csv
lb06_04012025,lb,0.003170682,6.79E-05,11588,1894,,1743515657,10000-7667-23176-001.csv
hb01_04012025,hb,0.003194305,8.61E-05,11589,1894,,1743517271,10000-7668-23178-001.csv
std1895,std,1.238426404,0.001788131,11590,1895,,1743517892,10000-7669-23180-001.csv
GRB13__z5,zirc,55.79830653,0.064485006,11591,1895,,1743519373,10000-7670-23182-001.csv
GRB13__z5_re1,zirc,1.487080582,0.002226633,11592,1895,,1743520830,10000-7671-23184-001.csv
GRB13__z5_re2,zirc,5.602341002,0.007309773,11593,1895,,1743522282,10000-7672-23186-001.csv
GRB13__z5_re3,zirc,0.783968164,0.001350591,11594,1895,,1743523836,10000-7673-23188-001.csv
std1896,std,1.243532259,0.00256414,11595,1896,,1743524510,10000-7674-23190-001.csv
GRB13_z6,zirc,71.55095528,0.113444298,11596,1896,,1743525961,10000-7675-23192-001.csv
GRB13_z6_re1,zirc,3.638073218,0.004440849,11597,1896,,1743527415,10000-7676-23194-001.csv
GRB13_z6_re2,zirc,1.445298762,0.002581212,11598,1896,,1743528970,10000-7677-23196-001.csv
GRB13_z8,zirc,38.99476006,0.047975546,11599,1896,,1743530513,10000-7678-23198-001.csv
GRB13_z8_re1,zirc,1.352477748,0.002403622,11600,1896,,1743531980,10000-7679-23200-001.csv
std1897,std,1.243855825,0.002641482,11601,1897,,1743532617,10000-7680-23202-001.csv
GRB13_z8_re2,zirc,0.008530787,0.000156606,11602,1897,,1743534184,10000-7681-23204-001.csv
GRB13_z3_re2,zirc,0.030004711,0.00025723,11603,1897,,1743535757,10000-7682-23206-001.csv
