count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1772043417.435573,4.712638699416738e-12,1.2832044454791358e-11,1.6716511508363396e-10,1.1960835100133238e-11,-6.182547692117762e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1643,12:16:53 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.712638699416738e-12, 1.2832044454791358e-11, 1.6716511508363396e-10, 1.1960835100133238e-11, -6.182547692117762e-14]",True
2,1772043419.0454998,4.720339570607468e-12,1.2801391890970848e-11,1.6837560512517058e-10,1.2033386440069016e-11,-5.908193042875737e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1644,12:16:56 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.720339570607468e-12, 1.2801391890970848e-11, 1.6837560512517058e-10, 1.2033386440069016e-11, -5.908193042875737e-14]",False
3,1772043421.5568373,4.687108340339918e-12,1.3071414610432708e-11,1.6814545589216578e-10,1.2058353447697012e-11,-5.75549333127652e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1645,12:16:58 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.687108340339918e-12, 1.3071414610432708e-11, 1.6814545589216578e-10, 1.2058353447697012e-11, -5.75549333127652e-14]",True
4,1772043424.074207,4.637391165518423e-12,1.2843542201990132e-11,1.6860110529925976e-10,1.2067268191640057e-11,-7.526799143805704e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1646,12:17:01 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.637391165518423e-12, 1.2843542201990132e-11, 1.6860110529925976e-10, 1.2067268191640057e-11, -7.526799143805704e-14]",False
5,1772043426.5916343,4.762828586385437e-12,1.2955165586137074e-11,1.6921894441246366e-10,1.201062253125551e-11,-6.751617629774734e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1647,12:17:04 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.762828586385437e-12, 1.2955165586137074e-11, 1.6921894441246366e-10, 1.201062253125551e-11, -6.751617629774734e-14]",True
6,1772043429.1576955,4.5842561517683844e-12,1.2968414536684847e-11,1.6940063241044356e-10,1.1993619639105724e-11,-6.573067150251674e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1648,12:17:06 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.5842561517683844e-12, 1.2968414536684847e-11, 1.6940063241044356e-10, 1.1993619639105724e-11, -6.573067150251674e-14]",False
7,1772043431.7399988,4.556622440476943e-12,1.307408695194745e-11,1.682541467262766e-10,1.2103432839305484e-11,-6.381365976002723e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1649,12:17:09 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.556622440476943e-12, 1.307408695194745e-11, 1.682541467262766e-10, 1.2103432839305484e-11, -6.381365976002723e-14]",True
8,1772043434.759836,4.576670206007938e-12,1.2805288079897892e-11,1.6949087966455778e-10,1.2114331239543308e-11,-5.935326557494902e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1650,12:17:11 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.576670206007938e-12, 1.2805288079897892e-11, 1.6949087966455778e-10, 1.2114331239543308e-11, -5.935326557494902e-14]",False
9,1772043437.2668455,4.490550292723938e-12,1.2907704419196087e-11,1.6984559592092552e-10,1.2173451482966335e-11,-5.102612871620525e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1651,12:17:14 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.490550292723938e-12, 1.2907704419196087e-11, 1.6984559592092552e-10, 1.2173451482966335e-11, -5.102612871620525e-14]",True
10,1772043439.7722433,4.5157354418290385e-12,1.3127033314519476e-11,1.6957965587316437e-10,1.2030549299824056e-11,-6.62907567922956e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1652,12:17:17 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.5157354418290385e-12, 1.3127033314519476e-11, 1.6957965587316437e-10, 1.2030549299824056e-11, -6.62907567922956e-14]",False
11,1772043442.3471708,4.4126742190786494e-12,1.288502724655638e-11,1.7020848619431206e-10,1.212953348872503e-11,-6.323158549493765e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1653,12:17:19 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.4126742190786494e-12, 1.288502724655638e-11, 1.7020848619431206e-10, 1.212953348872503e-11, -6.323158549493765e-14]",True
12,1772043444.9098175,4.428918169707696e-12,1.3016605154847483e-11,1.7063095381075755e-10,1.2184529427083923e-11,-6.03735879106844e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1654,12:17:22 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.428918169707696e-12, 1.3016605154847483e-11, 1.7063095381075755e-10, 1.2184529427083923e-11, -6.03735879106844e-14]",False
13,1772043448.009521,4.372007530312194e-12,1.2934619521287605e-11,1.6899857901986337e-10,1.2047186165320412e-11,-5.742827139396459e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1655,12:17:25 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.372007530312194e-12, 1.2934619521287605e-11, 1.6899857901986337e-10, 1.2047186165320412e-11, -5.742827139396459e-14]",True
14,1772043450.0350425,4.357414602751408e-12,1.2901287677058448e-11,1.7059420542864245e-10,1.209012837760648e-11,-5.3136985642739804e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1656,12:17:27 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.357414602751408e-12, 1.2901287677058448e-11, 1.7059420542864245e-10, 1.209012837760648e-11, -5.3136985642739804e-14]",False
15,1772043453.2321315,4.345288451973461e-12,1.2979947845714879e-11,1.7058018886295656e-10,1.2480988464957932e-11,-6.473325293767512e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1657,12:17:30 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.345288451973461e-12, 1.2979947845714879e-11, 1.7058018886295656e-10, 1.2480988464957932e-11, -6.473325293767512e-14]",True
16,1772043455.7447755,4.248034649739774e-12,1.2644427171970563e-11,1.7034181010178173e-10,1.245122928372755e-11,-5.598002462514455e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1658,12:17:32 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.248034649739774e-12, 1.2644427171970563e-11, 1.7034181010178173e-10, 1.245122928372755e-11, -5.598002462514455e-14]",False
17,1772043458.2605832,4.40703419937738e-12,1.2836626726853151e-11,1.7090928672303107e-10,1.237520329266939e-11,-5.6329513807313464e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1659,12:17:35 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.40703419937738e-12, 1.2836626726853151e-11, 1.7090928672303107e-10, 1.237520329266939e-11, -5.6329513807313464e-14]",True
