,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb01_02172026,lb,0.003177839,8.916692486439569e-05,12359,2009,,1771347102.8294578,10000-8427-24718-001.csv
hb01_02172026,hb,0.00318386,4.307789720541092e-05,12360,2009,,1771349204.4502296,10000-8428-24720-001.csv
std2010,std,1.2571312385612994,0.001709308,12361,2010,,1771349885.4505765,10000-8429-24722-001.csv
FCT_MH_1,zirc,2.8433283001546257,0.002791177,12362,2010,,1771351840.7016425,10000-8430-24724-001.csv
FCT_MH_1_re1,zirc,0.3438898006041139,0.000645825,12363,2010,,1771353581.6597965,10000-8431-24726-001.csv
FCT_MH_1_re2,zirc,0.099889036,0.00026932,12364,2010,,1771355137.1748645,10000-8432-24728-001.csv
NZ2403_Z1,zirc,4.471993776358664,0.003207503,12365,2010,,1771357329.7454371,10000-8433-24730-001.csv
NZ2403_Z1_re1,zirc,0.080176178,0.00025105,12366,2010,,1771358888.239185,10000-8434-24732-001.csv
NZ2403_Z2,zirc,3.5036449039999997,0.004122807,12367,2010,"grain packet misaligned, pyrometer shut off mid-run after re-positioning",1771360953.0846324,10000-8435-24734-001.csv
NZ2403_Z2_re1,zirc,0.34075893974380844,0.00072577,12368,2010,"maxed laser, temp approx 1100",1771362553.606181,10000-8436-24736-001.csv
NZ2403_Z2_re2,zirc,0.020965032586919247,0.000118536,12369,2010,,1771365982.8694332,10000-8437-24738-001.csv
NZ2403_Z3,zirc,3.607833401160708,0.004394683,12370,2010,,1771367679.1996949,10000-8438-24740-001.csv
NZ2403_Z3_re1,zirc,0.3911121352317769,0.000512866,12371,2010,,1771369219.462255,10000-8439-24742-001.csv
NZ2403_Z3_re2,zirc,0.17354893856928738,0.000316764,12372,2010,,1771370759.5475554,10000-8440-24744-001.csv
NZ2403_Z3_re3,zirc,0.077290736,0.000302167,12373,2010,,1771372391,10000-8441-24746-001.csv
NZ2403_Z4,zirc,1.1963513453456185,0.0017609,12374,2010,,1771373925,10000-8442-24748-001.csv
NZ2403_Z4_re1,zirc,0.018682114,0.000104886,12375,2010,,1771375423.6996765,10000-8443-24750-001.csv
std2011,std,1.2558882634488486,0.001503545,12376,2011,,1771376146.9899516,10000-8444-24752-001.csv
lb02_02182026,lb,0.00296541,3.228330219835983e-05,12378,2011,,1771426636.1068242,10000-8446-24756-001.csv
hb01_02182026,hb,0.003233933,5.614367826854743e-05,12379,2011,,1771428109.3937516,10000-8447-24758-001.csv
std2012,std,1.253173929343411,0.001759459,12380,2012,,1771428728.4977446,10000-8448-24760-001.csv
NZ2407_Z1,zirc,9.875202144740992,0.010309252,12381,2012,,1771430666.077151,10000-8449-24762-001.csv
NZ2407_Z1_re1,zirc,0.4061870326434335,0.000774187,12382,2012,,1771432405.0815682,10000-8450-24764-001.csv
NZ2407_Z1_re2,zirc,0.2424892370749376,0.000704775,12383,2012,,1771434165.1787267,10000-8451-24766-001.csv
NZ2407_Z2,zirc,14.113864959138837,0.015556822791431554,12384,2012,,1771435677.0200953,10000-8452-24768-001.csv
NZ2407_Z2_re1,zirc,0.30128204473590114,0.000494314,12385,2012,,1771437144.7471848,10000-8453-24770-001.csv
NZ2407_Z4,zirc,13.554867904790445,0.015623959361687053,12386,2012,,1771439596.3661652,10000-8454-24772-001.csv
NZ2407_Z4_re1,zirc,0.7561530935959946,0.000945806,12387,2012,,1771441103.3819551,10000-8455-24774-001.csv
NZ2407_Z4_re2,zirc,0.34271861094146283,0.000587686,12388,2012,,1771442589.3871875,10000-8456-24776-001.csv
std2013,std,1.258040586924737,0.002105572,12389,2013,,1771443244.8097253,10000-8457-24778-001.csv
NZ2408_Z1,zirc,1.159653638995489,0.001820102,12390,2013,,1771444770.0197673,10000-8458-24780-001.csv
NZ2408_Z1_re1,zirc,0.30388179633471124,0.000424154,12391,2013,,1771446221.6018164,10000-8459-24782-001.csv
NZ2408_Z1_re2,zirc,0.16701876015885914,0.000317892,12392,2013,,1771447919.1705434,10000-8460-24784-001.csv
NZ2408_Z1_re3,zirc,0.10153206439304056,0.000394054,12393,2013,,1771449454.5386353,10000-8461-24786-001.csv
std2014,std,1.257149896875554,0.001294528,12394,2014,,1771450212.3603382,10000-8462-24788-001.csv
NZ2408_Z2,zirc,5.885567794884914,0.006106348,12395,2014,,1771451982.3987124,10000-8463-24790-001.csv
lb02_02192026,lb,0.003076551,5.510795645464447e-05,12397,2014,,1771513571.4781468,10000-8465-24794-001.csv
hb01_02192026,hb,0.002982133,6.638786585556365e-05,12398,2014,,1771516705.1112185,10000-8466-24796-001.csv
std2015,std,1.2592373700032318,0.001619112,12399,2015,,1771517331.8045247,10000-8467-24798-001.csv
FCT_MH_2,zirc,2.2652250121571726,0.003611567,12400,2015,,1771518812,10000-8468-24800-001.csv
FCT_MH_2_re1,zirc,0.2732697633446117,0.000596521,12401,2015,,1771520214.2168863,10000-8469-24802-001.csv
FCT_MH_2_re2,zirc,0.11598864150158053,0.000330806,12402,2015,,1771521653.2203646,10000-8470-24804-001.csv
NZ2408_Z2_re1,zirc,0.34187497784949417,0.00059066,12403,2015,,1771523167.7416933,10000-8471-24806-001.csv
NZ2408_Z3,zirc,1.6223689413073417,0.002174089,12404,2015,,1771524648.5730536,10000-8472-24808-001.csv
NZ2408_Z3_re1,zirc,0.1983413233941754,0.000586918,12405,2015,,1771526076.5101647,10000-8473-24810-001.csv
NZ2408_Z3_re2,zirc,0.11724718767174865,0.000353446,12406,2015,,1771527507.8878703,10000-8474-24812-001.csv
NZ2408_Z4,zirc,0.8462063410648438,0.001130118,12407,2015,,1771528982.9243734,10000-8475-24814-001.csv
std2016,std,1.2573816395611035,0.001398271,12408,2016,,1771529562.8520954,10000-8476-24816-001.csv
NZ2408_Z4_re1,zirc,0.1629326826267584,0.000422508,12409,2016,,1771531009.4229524,10000-8477-24818-001.csv
NZ2408_Z4_re2,zirc,0.073989295,0.000162562,12410,2016,,1771532417.0095613,10000-8478-24820-001.csv
NZ2420_Z1,zirc,2.8872731062359867,0.001990754,12411,2016,,1771533957.8735137,10000-8479-24822-001.csv
NZ2420_Z1_re1,zirc,0.22494009582295368,0.000608445,12412,2016,,1771535362.9500477,10000-8480-24824-001.csv
NZ2420_Z2,zirc,2.2099774677890958,0.002348098,12413,2016,,1771536924.739792,10000-8481-24826-001.csv
NZ2420_Z2_re1,zirc,0.4859466145063279,0.000651627,12414,2016,,1771538365.8913352,10000-8482-24828-001.csv
NZ2420_Z2_re2,zirc,0.2799705009875411,0.000627049,12415,2016,,1771539781.0414288,10000-8483-24830-001.csv
NZ2420_Z2_re3,zirc,0.17236771638733936,0.000324321,12416,2016,,1771541215.0205245,10000-8484-24832-001.csv
NZ2420_Z3,zirc,2.513901256958244,0.001589464,12417,2016,,1771542710.9232774,10000-8485-24834-001.csv
std2017,std,1.2588121101946723,0.001962211,12418,2017,,1771543303.8889859,10000-8486-24836-001.csv
