count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1774931117.1922078,4.280416732865833e-12,1.3117841014820275e-11,1.679229394424553e-10,2.4319099251740584e-12,-5.970728468931985e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6731,11:25:13 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.280416732865833e-12, 1.3117841014820275e-11, 1.679229394424553e-10, 2.4319099251740584e-12, -5.970728468931985e-14]",True
2,1774931118.3680856,4.327041763091399e-12,1.2828847359425133e-11,1.6778842204523414e-10,2.5290021812840457e-12,-6.331952784365338e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6732,11:25:16 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.327041763091399e-12, 1.2828847359425133e-11, 1.6778842204523414e-10, 2.5290021812840457e-12, -6.331952784365338e-14]",False
3,1774931121.4044654,4.258505006959901e-12,1.2980377189775183e-11,1.689824530304307e-10,2.5531367384840076e-12,-6.173025686537909e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6733,11:25:19 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.258505006959901e-12, 1.2980377189775183e-11, 1.689824530304307e-10, 2.5531367384840076e-12, -6.173025686537909e-14]",True
4,1774931123.9190042,4.186066424050061e-12,1.2947373208282986e-11,1.6828691218329084e-10,2.5609640276480494e-12,-6.36231722145851e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6734,11:25:21 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.186066424050061e-12, 1.2947373208282986e-11, 1.6828691218329084e-10, 2.5609640276480494e-12, -6.36231722145851e-14]",False
5,1774931126.4354365,4.084267212628445e-12,1.2690668828307938e-11,1.6742342234810081e-10,2.5098553877583862e-12,-5.84342348271781e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6735,11:25:24 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.084267212628445e-12, 1.2690668828307938e-11, 1.6742342234810081e-10, 2.5098553877583862e-12, -5.84342348271781e-14]",True
6,1774931128.9512968,4.1274002444968705e-12,1.3038552008903803e-11,1.6872030161874108e-10,2.50793938567917e-12,-5.883072756165605e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6736,11:25:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.1274002444968705e-12, 1.3038552008903803e-11, 1.6872030161874108e-10, 2.50793938567917e-12, -5.883072756165605e-14]",False
7,1774931131.4827747,4.085970711081854e-12,1.2992973884295989e-11,1.687709416664518e-10,2.5193989689614726e-12,-6.550726486861252e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6737,11:25:29 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.085970711081854e-12, 1.2992973884295989e-11, 1.687709416664518e-10, 2.5193989689614726e-12, -6.550726486861252e-14]",True
8,1774931134.5068762,3.959449088042355e-12,1.3157245258577088e-11,1.6845476402682635e-10,2.515331042410307e-12,-5.988464661221132e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6738,11:25:32 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.959449088042355e-12, 1.3157245258577088e-11, 1.6845476402682635e-10, 2.515331042410307e-12, -5.988464661221132e-14]",False
9,1774931137.0161972,3.9814046157160554e-12,1.2820757476494915e-11,1.6830667415312917e-10,2.473956152784784e-12,-5.953755961548082e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6739,11:25:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.9814046157160554e-12, 1.2820757476494915e-11, 1.6830667415312917e-10, 2.473956152784784e-12, -5.953755961548082e-14]",True
10,1774931139.5189235,3.91612610395331e-12,1.2997702740491501e-11,1.6803493319006435e-10,2.527688778772297e-12,-5.989926301274914e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6740,11:25:37 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.91612610395331e-12, 1.2997702740491501e-11, 1.6803493319006435e-10, 2.527688778772297e-12, -5.989926301274914e-14]",False
11,1774931142.0320373,3.8311285567582676e-12,1.2837506231655471e-11,1.6967184601757168e-10,2.524246220034221e-12,-5.790320615562186e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6741,11:25:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.8311285567582676e-12, 1.2837506231655471e-11, 1.6967184601757168e-10, 2.524246220034221e-12, -5.790320615562186e-14]",True
