,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_03122026,lb,0.0029924853755606226,5.370645032273172e-05,12734,2063,,1773315799.4246745,10000-8801-25468-001.csv
hb01_03122026,hb,0.0029545122086096654,5.75936006960543e-05,12735,2063,,1773317341.8624458,10000-8802-25470-001.csv
std2064,std,1.2582422926421741,0.002146237800696889,12736,2064,,1773317935.8682072,10000-8803-25472-001.csv
KSGH_Z13,zirc,36.15861518167729,0.02922988825729277,12737,2064,,1773319462.9111037,10000-8804-25474-001.csv
KSGH_Z13_re1,zirc,0.4248800918033212,0.0007939026671977132,12738,2064,,1773320945.587734,10000-8805-25476-001.csv
KSGH_Z13_re2,zirc,0.2135831187934761,0.0005091939676001765,12739,2064,,1773322364.3170307,10000-8806-25478-001.csv
KSGH_Z14,zirc,28.425051977562255,0.030581668934686397,12740,2064,,1773323854.1862104,10000-8807-25480-001.csv
KSGH_Z14_re1,zirc,0.003781525929839513,7.045970097176663e-05,12741,2064,,1773324519.4636319,10000-8808-25482-001.csv
KSGH_Z14_re2,zirc,0.034143437253766055,0.00017782641917497068,12742,2064,,1773325967.2388167,10000-8809-25484-001.csv
std2065,std,1.26134473029245,0.0024227300394697856,12743,2065,,1773326524.2681584,10000-8810-25486-001.csv
KSGH_Z15,zirc,33.88157590195391,0.035339916757649636,12744,2065,,1773328030.4930465,10000-8811-25488-001.csv
KSGH_Z15_re1,zirc,0.014294745313437735,0.00010446457718483945,12745,2065,,1773329462.4635196,10000-8812-25490-001.csv
KSGH_Z16,zirc,22.772455238273984,0.022045020740951583,12746,2065,,1773330913.0361798,10000-8813-25492-001.csv
KSGH_Z16_re1,zirc,0.2544463233431482,0.0005573315239212186,12747,2065,,1773332374.583099,10000-8814-25494-001.csv
KSGH_Z16_re2,zirc,0.0031762919061718493,4.792987722553044e-05,12748,2065,,1773333407.6198606,10000-8815-25496-001.csv
std2066,std,1.2591549853829775,0.0018147654845135945,12749,2066,,1773333917.9479268,10000-8816-25498-001.csv
KSGH_Z17,zirc,22.913921743371397,0.025276784384499394,12750,2066,,1773335455.7114427,10000-8817-25500-001.csv
KSGH_Z17_re1,zirc,0.14337753894114294,0.00029467694232858545,12751,2066,,1773336903.6786091,10000-8818-25502-001.csv
