count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1784812367.488581,1.4881339216454847e-11,1.4949565890765015e-11,1.6772154498578828e-10,1.5700294397902326e-09,3.4389518684986575e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1813,8:12:44 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4881339216454847e-11, 1.4949565890765015e-11, 1.6772154498578828e-10, 1.5700294397902326e-09, 3.4389518684986575e-13]",False
2,1784812369.9991012,1.4855909905020503e-11,1.488226035462059e-11,1.6863932472688248e-10,1.575072294812685e-09,3.384995734233287e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1814,8:12:46 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4855909905020503e-11, 1.488226035462059e-11, 1.6863932472688248e-10, 1.575072294812685e-09, 3.384995734233287e-13]",True
3,1784812372.5059247,1.4759282337961643e-11,1.4735769895968254e-11,1.69753058831823e-10,1.5758091498341287e-09,3.461919065219504e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1815,8:12:49 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4759282337961643e-11, 1.4735769895968254e-11, 1.69753058831823e-10, 1.5758091498341287e-09, 3.461919065219504e-13]",False
4,1784812375.0092728,1.463007666402394e-11,1.4874164400158207e-11,1.684647699118358e-10,1.5735112102177595e-09,3.4648943870313476e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1816,8:12:52 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.463007666402394e-11, 1.4874164400158207e-11, 1.684647699118358e-10, 1.5735112102177595e-09, 3.4648943870313476e-13]",True
5,1784812377.5811417,1.464164900433218e-11,1.471948084252883e-11,1.683310713040953e-10,1.5772969597094288e-09,3.4170284874193713e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1817,8:12:54 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.464164900433218e-11, 1.471948084252883e-11, 1.683310713040953e-10, 1.5772969597094288e-09, 3.4170284874193713e-13]",False
6,1784812380.1485963,1.4484710306184034e-11,1.4866352940345884e-11,1.6908163757989314e-10,1.578069674934568e-09,3.402561706781354e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1818,8:12:57 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4484710306184034e-11, 1.4866352940345884e-11, 1.6908163757989314e-10, 1.578069674934568e-09, 3.402561706781354e-13]",True
7,1784812382.7230322,1.4634756947962124e-11,1.489546853916668e-11,1.6858781037853987e-10,1.577350028370006e-09,3.416210727930774e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1819,8:12:59 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4634756947962124e-11, 1.489546853916668e-11, 1.6858781037853987e-10, 1.577350028370006e-09, 3.416210727930774e-13]",False
8,1784812385.2697303,1.4546635597467716e-11,1.4847465271139448e-11,1.6932584501194725e-10,1.5795900143444896e-09,3.397642139423701e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1820,8:13:02 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4546635597467716e-11, 1.4847465271139448e-11, 1.6932584501194725e-10, 1.5795900143444896e-09, 3.397642139423701e-13]",True
9,1784812388.2963653,1.4485102353689605e-11,1.4880912474479757e-11,1.6887954923383575e-10,1.5806917996741277e-09,3.416080623670076e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1821,8:13:05 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4485102353689605e-11, 1.4880912474479757e-11, 1.6887954923383575e-10, 1.5806917996741277e-09, 3.416080623670076e-13]",False
10,1784812390.806888,1.4356978279839172e-11,1.505200825091535e-11,1.68974487180229e-10,1.580763631103821e-09,3.389908525327362e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1822,8:13:07 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4356978279839172e-11, 1.505200825091535e-11, 1.68974487180229e-10, 1.580763631103821e-09, 3.389908525327362e-13]",True
11,1784812393.3164475,1.4374865013599969e-11,1.479168697249289e-11,1.6962579951762535e-10,1.5818981680126853e-09,3.3532619497962657e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1823,8:13:10 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4374865013599969e-11, 1.479168697249289e-11, 1.6962579951762535e-10, 1.5818981680126853e-09, 3.3532619497962657e-13]",False
12,1784812395.913853,1.4293274896992614e-11,1.4910031542747504e-11,1.700881657740183e-10,1.5822464449755103e-09,3.438961897368753e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1824,8:13:12 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4293274896992614e-11, 1.4910031542747504e-11, 1.700881657740183e-10, 1.5822464449755103e-09, 3.438961897368753e-13]",True
13,1784812398.5327551,1.4286046304268218e-11,1.492159347471489e-11,1.690289991307381e-10,1.583274733540918e-09,3.4578150889461035e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1825,8:13:15 AM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4286046304268218e-11, 1.492159347471489e-11, 1.690289991307381e-10, 1.583274733540918e-09, 3.4578150889461035e-13]",False
