count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1691004957.9722447,3.539647145268249e-13,1.2879533377307961e-11,7.078958594438842e-14,9.445918981894341e-14,7.6045655775063e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),58,2:35:55 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.539647145268249e-13, 1.2879533377307961e-11, 7.078958594438842e-14, 9.445918981894341e-14, 7.6045655775063e-14]",True
2,1691004960.543108,3.578714473199962e-13,1.2730833748308967e-11,6.937402448293703e-14,9.326332837521906e-14,8.224422255427924e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),59,2:35:57 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.578714473199962e-13, 1.2730833748308967e-11, 6.937402448293703e-14, 9.326332837521906e-14, 8.224422255427924e-14]",False
3,1691004963.5687768,3.813024928352865e-13,1.2710479370403593e-11,8.865065799501526e-14,8.741606342867886e-14,7.630939472978368e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),60,2:36:00 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.813024928352865e-13, 1.2710479370403593e-11, 8.865065799501526e-14, 8.741606342867886e-14, 7.630939472978368e-14]",True
4,1691004966.0680814,3.533848560999253e-13,1.2729216986029357e-11,8.526157075283355e-14,8.041326935923077e-14,8.211112318507949e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),61,2:36:03 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.533848560999253e-13, 1.2729216986029357e-11, 8.526157075283355e-14, 8.041326935923077e-14, 8.211112318507949e-14]",False
5,1691004968.5760663,3.7592357612220573e-13,1.3140670843125868e-11,8.146808287657833e-14,9.099134884145779e-14,7.923448409972306e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),62,2:36:05 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.7592357612220573e-13, 1.3140670843125868e-11, 8.146808287657833e-14, 9.099134884145779e-14, 7.923448409972306e-14]",True
6,1691004971.1718543,3.3636610749336604e-13,1.2776090949073726e-11,8.21541863401179e-14,8.252346560006646e-14,8.327765696003811e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),63,2:36:08 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.3636610749336604e-13, 1.2776090949073726e-11, 8.21541863401179e-14, 8.252346560006646e-14, 8.327765696003811e-14]",False
7,1691004973.7478356,3.5765563687756297e-13,1.3062750534031942e-11,7.168688521486458e-14,8.583936241934181e-14,8.093641045998218e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),64,2:36:11 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.5765563687756297e-13, 1.3062750534031942e-11, 7.168688521486458e-14, 8.583936241934181e-14, 8.093641045998218e-14]",True
8,1691004976.3369806,3.486831049587247e-13,1.280972983935813e-11,6.989073490955289e-14,7.889911326271898e-14,7.915942342806917e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),65,2:36:13 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.486831049587247e-13, 1.280972983935813e-11, 6.989073490955289e-14, 7.889911326271898e-14, 7.915942342806917e-14]",False
9,1691004978.8829873,3.643254589073136e-13,1.285120967975395e-11,7.25775301945071e-14,8.608471737097528e-14,7.83857706391014e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),66,2:36:16 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.643254589073136e-13, 1.285120967975395e-11, 7.25775301945071e-14, 8.608471737097528e-14, 7.83857706391014e-14]",True
10,1691004981.4637737,3.726061343148346e-13,1.2850598189728668e-11,7.669703088776514e-14,9.594189049992596e-14,7.623979572657369e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),67,2:36:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.726061343148346e-13, 1.2850598189728668e-11, 7.669703088776514e-14, 9.594189049992596e-14, 7.623979572657369e-14]",False
11,1691004984.6540654,3.946553370562378e-13,1.2970668809841879e-11,8.070713558181938e-14,8.359177743446147e-14,8.169365791482752e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),68,2:36:21 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.946553370562378e-13, 1.2970668809841879e-11, 8.070713558181938e-14, 8.359177743446147e-14, 8.169365791482752e-14]",True
12,1691004987.1856697,3.3965579372512156e-13,1.3109418932344408e-11,7.292788335028222e-14,9.487487970813793e-14,8.422599504778402e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),69,2:36:24 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.3965579372512156e-13, 1.3109418932344408e-11, 7.292788335028222e-14, 9.487487970813793e-14, 8.422599504778402e-14]",False
13,1691004989.7208173,3.27466976061605e-13,1.2721188685782536e-11,7.566628665864675e-14,7.96014255487372e-14,7.747225576988301e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),70,2:36:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.27466976061605e-13, 1.2721188685782536e-11, 7.566628665864675e-14, 7.96014255487372e-14, 7.747225576988301e-14]",True
14,1691004992.2515087,3.4521672087790833e-13,1.2993461341592738e-11,8.446251375171174e-14,8.334607011712195e-14,8.289248058573548e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),71,2:36:29 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.4521672087790833e-13, 1.2993461341592738e-11, 8.446251375171174e-14, 8.334607011712195e-14, 8.289248058573548e-14]",False
15,1691004994.798025,3.842002399816885e-13,1.2725335542251859e-11,8.17210882297914e-14,8.995269671274383e-14,7.621685807436204e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),72,2:36:32 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.842002399816885e-13, 1.2725335542251859e-11, 8.17210882297914e-14, 8.995269671274383e-14, 7.621685807436204e-14]",True
16,1691004997.3251514,3.5438896283691845e-13,1.2807835521322364e-11,8.597820128379216e-14,8.12501717924359e-14,8.204183588999409e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),73,2:36:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.5438896283691845e-13, 1.2807835521322364e-11, 8.597820128379216e-14, 8.12501717924359e-14, 8.204183588999409e-14]",False
17,1691004999.928753,3.2160632121823463e-13,1.2672906127275674e-11,7.966581360525568e-14,8.93324788599735e-14,7.880538398490761e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),74,2:36:37 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.2160632121823463e-13, 1.2672906127275674e-11, 7.966581360525568e-14, 8.93324788599735e-14, 7.880538398490761e-14]",True
18,1691005002.95207,3.42458754496594e-13,1.2794102582924793e-11,7.334204858017168e-14,8.568793325716348e-14,7.687069974700658e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),75,2:36:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.42458754496594e-13, 1.2794102582924793e-11, 7.334204858017168e-14, 8.568793325716348e-14, 7.687069974700658e-14]",False
19,1691005005.4580421,3.9077804035204944e-13,1.2573554176997792e-11,7.317176785271925e-14,9.021089946012126e-14,8.045295115874374e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),76,2:36:42 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.9077804035204944e-13, 1.2573554176997792e-11, 7.317176785271925e-14, 9.021089946012126e-14, 8.045295115874374e-14]",True
20,1691005007.9665122,3.8112479209921613e-13,1.3017883646049278e-11,7.836983964342945e-14,8.522249881704261e-14,7.79718019208557e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),77,2:36:45 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.8112479209921613e-13, 1.3017883646049278e-11, 7.836983964342945e-14, 8.522249881704261e-14, 7.79718019208557e-14]",False
